店名,住所,営業時間,定休日,座席,緯度,経度
らーめん駒 半田店,〒475-0838 愛知県半田市旭町3-9-1,11:00 ～ 15:00／17:00 ～ 22:00[土・日・祝] 11:00 ～ 22:00※ラストオーダーは各30分前,,,34.875050,136.921753
ラーメン元,〒468-0074 愛知県名古屋市天白区八幡山1208 メゾン八事101,11:00～14:30／17:00～21:00,土曜日,,35.132793,136.975540
ラーメン まぜそば カミナリ,〒445-0878 愛知県西尾市新在家1-55-2,11:00〜14:30／17:00〜22:00,不定休,,34.858002,137.040680
豚山 名古屋太閤口店,〒453-0015 愛知県名古屋市中村区椿町14-5,11:00〜22:00,月曜日,15席,35.168808,136.880615
フジヤマ55 メガドンキー豊橋店,〒441-8061 愛知県豊橋市藤沢町141  1F,,,,34.743671,137.371750
麺屋しずる 岡崎店,〒444-0864 愛知県岡崎市明大寺町大圦58-6,11:00〜22:30,,,34.933228,137.172943
つけ麺・ラーメン なな屋 常滑店,〒479-0021 愛知県常滑市大曽町4-12  マリオンガーデン1000,11:00～15:00／18:00～23:00[土・日・祝] 11:00～23:00,不定休（マリオンガーデン1000に準ずる）,15席,34.890320,136.872101
麺屋 天赦,〒441-1351 愛知県新城市稲木69-1,11:00～15:00／17:30〜21:30※ラストオーダーは各30分前,水曜日,,34.891346,137.473450
豚ラーメン 一歩前へ,〒486-0923 愛知県春日井市下条町1-2-2,11:00～15:00／17:30～22:00（L.O.21:30）,,15席,35.230759,136.968262
フジヤマ55 春日井神領店,〒486-0821 愛知県春日井市神領町2-22-3 メガコンコルド800春日井店敷地内,11:30～16:00／18:00～22:00,無休,,35.254200,137.009735
らーめん まぜそば 明大,〒496-0004 愛知県津島市蛭間町新田365,11:00～14:00／17:30～21:30,月曜,カウンター11席、テーブル4席×2卓,35.184921,136.775177
夢の一歩 豊田店,愛知県豊田市永覚新町4丁目88,火曜〜金曜日 17:00〜21:00土曜・日曜・祝日 11:00〜14:00、17:00〜21:00,月曜日,,35.039837,137.135757
ラーメン豚山 助光店,〒454-0947 愛知県名古屋市中川区助光1-502-1,11:00〜24:00,,,35.138020,136.828369
豚ラーメン おはよう世界,〒460-0012 愛知県名古屋市中区千代田5丁目15-12,11:00～15:00／17:30～21:30※ラストオーダーは各30分前,無休,15席,35.158508,136.918015
フジヤマ55 ミュープラット神宮前店,〒456-0032 愛知県名古屋市熱田区三本松町18-4  ミュープラット神宮前 3F,11:00～21:00,不定休,3席,35.126251,136.912827
マシマシスタンド 岡崎上里店,〒444-2136 愛知県岡崎市上里2丁目20-8 上里ガーデンビル,11:30〜14:30〜22:00[土・日] 11:30〜15:00／17:30〜22:00※ラストオーダーは各30分前,月曜日,22席,34.991268,137.160248
麺's world 豊二郎,〒440-0888 愛知県豊橋市駅前大通り2-30-1,11:00〜14:00,不定休,,34.762691,137.384140
骨太味覚,〒790-0004 愛媛県松山市大街道3-3-5 友近ビル 1F,11:00〜15:00／17:30〜21:30,不定休,,33.842125,132.770462
夢を語れ 松山店,〒790-0827 愛媛県松山市鉄砲町1-2,11:00〜15:00、18:00〜22:00,不定休,カウンター10席,33.847965,132.769104
麺屋 柚木,〒790-0021 愛媛県松山市真砂町3-2,11:00～15:00／17:00～21:00※ラストオーダーは各30分前,火曜日,15席,33.832413,132.760468
豚麺 アジト,〒790-0964 愛媛県松山市中村3-2-8,11:00〜14:00※売り切れ次第終了,日曜,10席,33.829906,132.777481
骨太味覚 今治桜井店,〒799-1524 愛媛県今治市桜井4-12-2,11:30～15:00／18:00～21:00※ラストオーダーは各15分前,月曜,カウンター6席、テーブル4席・2席、小上がり4席×2,34.019493,133.037415
ラーメンブタイチ 松山二番町店,〒790-0002 愛媛県松山市二番町3-8-6,11:00～22:00,,,33.839596,132.769730
豚ラーメン enten香,愛媛県今治市東村375-3,10:30〜15:00（L.O.14:30）／17:30〜20:00,月曜日,カウンター5席，座敷×4,34.037663,133.021469
ラーメン二郎 ひたちなか店,〒321-0063 茨城県ひたちなか市田彦1648-4,11:00〜14:30／17:30〜21:00[土・祝] 10:00〜16:00,日曜日,カウンター18席、テーブル4席×2卓,36.409092,140.514603
