店名,住所,営業時間,定休日,座席,緯度,経度
らぁめん大山 中里店,〒417-0826 静岡県富士市中里鬼が島2566-21,11:00〜21:00,無休,35席,35.186295,138.750519
麺屋 純太,静岡県掛川市三俣1376-1,平日11:00〜14:00 土・日11:00〜14:00、17:00〜20:00,月曜日,20席,34.668118,138.052429
麺とれ,〒427-0029 静岡県島田市日之出町1-14 小石川ビル1F,"火・金・土…11:00～14:00／17:30～20:00水・木・日（第1,2）…11:00～14:00","月曜日、日曜日（第3,4,5）",,34.831844,138.174698
豚山 静岡新川店,〒422-8064 静岡県静岡市駿河区新川1-1-31,11:00～22:00,月曜,カウンター18席,34.966309,138.380569
ラーメン豚の匠,〒434-0037 静岡県浜松市浜名区沼51-1 細久ビル,11:00～21:00,,,34.792397,137.786865
麺屋 三丁目 掛川支店,〒436-0046 静岡県掛川市中央高町97,,,,34.771881,137.997910
旗っさし家 吉田店,〒421-0303 静岡県榛原郡吉田町片岡215,8:00～22:00[土・日・祝] 6:00～22:00,火曜,,34.777962,138.255386
豚そば 金龍,〒436-0084 静岡県掛川市逆川244-2,7:00〜14:00,木曜,,34.782135,138.045135
山勝 角ふじ 金沢店,〒920-0055 石川県金沢市北町丁31,11:00～15:00／18:30～23:30,無休,"カウンター10席,テーブル(小上がり)12席",36.582569,136.629486
傾奇家本舗 前田慶次朗,〒920-0981 石川県金沢市片町2-7-1 羽岡ビル1F,11:00～15:00／18:00～24:00（L.O.23:30）[金・土] 11:00～15:00／18:00～翌2:00（L.O.翌1:30）[日・祝] 11:00～22:00（L.O.21:30）,水曜日,カウンター8席,36.561935,136.652985
麺屋 神やぐら,〒920-0036 石川県金沢市元菊町17-13,11:00～15:00／17:30～23:00[土・日・祝] 11:30～22:30,無休,カウンタ×11、テーブル×3,36.573170,136.640442
角ふじ食堂,〒920-1165 石川県金沢市若松町16,11:30～14:00／18:00～22:30※各ラストオーダー,水曜,,36.557018,136.699493
ラーメン太る,〒920-0031 石川県金沢市広岡1-3-29,11:00〜14:00／18:00〜21:00,,,36.581326,136.647797
ラーメン中毒 高浜海の家店,〒925-0141 石川県羽咋郡志賀町高浜町ノ-74,11:00～14:00／17:00～20:00,木曜日,20席,37.000191,136.771393
ラーメン中毒,〒921-8812 石川県野々市市扇が丘3-18  イマジンビル 1F,11:00〜14:00／17:00〜20:00,月曜,20席,36.529381,136.624481
横浜家系ラーメン 大吟豚 小松店,〒923-0034 石川県小松市長田町口23-1,11:00～24:00,,,36.426144,136.471130
麺絆SUBARU,〒920-3122 石川県金沢市福久町へ10-1,,,,36.615337,136.677841
ラーメンBoo Boo太郎。,〒260-0013 千葉県千葉市中央区中央4-13-21 小川ビル1F,11:00～14:0017:30～21:30[日] 11:00～14:00／17:30～20:30,水曜,カウンター11席,35.605316,140.122116
ちばから,〒290-0072 千葉県市原市西国分寺台1-3-16,11:30〜15:00／18:30〜22:00 [日] 11:30〜15:00／18:30〜21:00 ※材料切れの場合、早めに閉店あり。,月曜、火曜,カウンター11〜12席(変動する)、テーブル席4人掛け×2卓、テーブル席6人掛け×1卓,35.502090,140.112976
ラーメン二郎 京成大久保店,〒274-0072 千葉県船橋市三山2-1-11,11:00〜15:00,日曜、祝日,カウンター10席,35.691578,140.049591
ラーメン二郎 松戸駅前店,〒271-0091 千葉県松戸市本町17-9,【月～土】17半-21半【祝日】不定休※麺切れにて終了,日曜,カウンター12席,35.785427,139.899033
ラーメン二郎 千葉店,〒260-0013 千葉県千葉市中央区中央1-7-8,11:00～14:30／17:00～21:30,日曜※祝日は不定休,カウンター12席,35.610481,140.123581
麺屋 長次郎,〒272-0023 千葉県市川市南八幡3-6-17 旭ビル2F,11:00〜22:00,不定休,カウンター6席、テーブル8席,35.719425,139.926941
ラーメン ヨシトミ,〒263-0043 千葉県千葉市稲毛区小仲台6丁目17-2,火曜～土曜 11:30〜15:30／18:00〜21:00日曜    11:30～麺切れまで,月曜日,,35.638916,140.093155
まぜそばマゼロー 船橋店,〒274-0807 千葉県船橋市咲ヶ丘2-1-5,11:00～15:30／17:00～22:00（L.O.15分前）,月曜日第二火曜日第四火曜日,カウンター8席+テーブル席,35.757652,140.019394
にかいや,〒277-0055 千葉県柏市青葉台1-3-25,平日 11:00～15:00／18:00～21:00土・日・祝 9:00～麺切れまで,無休,カウンター席7,35.815304,139.964813
らー麺 だるま,〒264-0032 千葉県千葉市若葉区みつわ台4-16-4,11:00〜14:30／17:00〜21:00[土・日・祝] 11:00〜15:00／17:00〜21:00,第2・4水曜日,15席(カウンター9、テーブル6),35.642132,140.134048
麺屋 神工,〒125-0042 東京都葛飾区金町5-24‐17,【日】  11:00〜15:00【火〜土】11:00〜15:00／18:00〜21:00,月曜日（祝日でも休み）,カウンター10席,35.765881,139.868958
らーめんコジマル 東金店,〒289-1326 千葉県山武市成東1563-1,11:00〜14:45 ／ 18:00〜21:45[日] 11:00〜14:45 ／ 18:00〜20:45,無休,,35.594261,140.394455
どてちん,〒286-0041 千葉県成田市飯田町161-11,11:30～15:00／17:00～23:30,日曜日,カウンター10席,35.769573,140.299500
汁麺屋 どっぷりしやがれ,〒272-0131 千葉県市川市湊15-6 カサグランデ88 1F,11:00～22:00（日曜11:00～17:00）,月曜,カウンター13席前後(variable),35.683205,139.911270
らーめん松信 八千代台店,〒276-0033 千葉県八千代市八千代台南2-10-38,火曜日～土曜日 11:30〜14:00／18:00〜20:00日曜日（不定期の為Twitterにて要確認）※売り切れ次第終了,日曜日（不定期の為Twitterにて要確認）、月曜日,カウンター7席,35.697147,140.092468
ら～めんコジマル 宮野木店,〒263-0054 千葉県千葉市稲毛区宮野木町1849-45,昼の部／11:00～14:45夜の部／18:00～22:00,月曜日,,35.659660,140.103470
どてちんⅢ,〒285-0855 千葉県佐倉市井野1491-1,11:00～22:00,火曜日,カウンター6席 テーブル4×2,35.717651,140.132111
ラーメン大 我孫子店,〒270-1154 千葉県我孫子市白山1丁目7-7 白山シャトウ106号,11:30〜翌0:40[日・祝・連休の最終日] 11:30～24:00,基本的に無休,カウンター8席,35.866085,140.013321
らーめん松信,千葉県佐倉市鏑木町491-2,10:00〜14:00／18:00〜19:30※売り切れ次第終了,火曜日、水曜日、第2木曜日,カウンターのみ6席,35.712936,140.227798
麺屋 もりの,〒273-0042 千葉県船橋市前貝塚町565-13,平日 11:00～14:00／17:00～22:30土・日・祝 11:00～15:00※売り切れ次第終了※平日昼営業のみの場合もあり（Twitterで告知）,水曜それ以外はTwitterで告知,,35.722672,139.982620
ぶたけん。2nd,〒274-0285 千葉県船橋市前原西2-15-12 第2三商ビル2F,11:00〜14:50／17:00〜20:50[日] 11:00〜14:50※各ラストオーダー,無休,カウンター14席,35.692535,140.020462
雷 千葉駅前店,〒260-0015 千葉県千葉市中央区富士見2-5-18,11:00〜23:00（L.O.22:45）,無休,カウンター14席、2階テーブル席,35.610470,140.116577
ぶたけん。,〒272-0023 千葉県市川市南八幡5-8-5,11:00〜14:50／17:00〜20:50※各ラストオーダー,なし※臨時休業はXで告知,カウンター12席,35.720650,139.923599
雷 松戸駅東口店,〒271-0092 千葉県松戸市松戸1240-3 エクセル松戸 1F,11:00〜翌1:00,,7席,35.783482,139.901688
恵比寿ブタメン,〒299-3251 千葉県大網白里市大網464-3,11:00～14:00／17:00～21:00,無休,16席 （カウンター8席、テーブル8席）、個室 無,35.524220,140.329224
雷 北松戸本店,〒270-0063 千葉県松戸市北松戸3-1-76,11:00〜22:00,,カウンター19席,35.802261,139.914825
豚の穴,〒299-4612 千葉県いすみ市岬町江場土2217-2,11:00～15:00／17:30～22:00（L.O.21:30）,10月は毎週木曜日を定休日https://x.com/butanoana2018/status/197363258544109,,35.296803,140.399551
ラーメン大 ○虎,〒275-0011 千葉県習志野市大久保1-18-12,11:00～15:00／17:00～23:00,,カウンター12席,35.687263,140.048584
ラーメン やまや 本店,〒263-0022 千葉県千葉市稲毛区弥生町2-18,11:00～15:00／17:30～22:00[木] 11:00～15:00,木・日曜日,カウンター11席,35.623508,140.103500
ラーメン豚39,〒292-0067 千葉県木更津市中央1-7‐10,昼11時〜15時／夜18時〜21時（L.O.30分前）※売り切れTwitter通知,不定休（Twitter通知）,,35.383354,139.924362
麺屋 本日も晴天です,〒272-0143 千葉県市川市相之川3-1-26,11:30～13:30※昼の部のみ,不定休※Twitterなどで告知,カウンターのみ7席,35.677631,139.899582
山勝角ふじ 南流山店,千葉県流山市南流山5-14-6,11:00～翌3:00,基本的に無休,カウンター12席,35.844009,139.898270
山勝軒,〒270-0163 千葉県流山市南流山7-7-12,11:00〜翌2:00,無休,14席(カウンター10・テーブル4),35.842495,139.897186
俺の生きる道 柏店,〒277-0023 千葉県柏市中央2-9-11,11:30～14:30／17:30～22:00※ お土産ラーメンは23時頃まで販売,定休日無し,カウンター10席,35.855572,139.971725
麺屋こうじ,〒277-0852 千葉県柏市旭町1-4-15,11:00～17:00／18:00～24:00,不定休,22席（カウンター10席+4人テーブル×3）,35.862289,139.968246
優勝軒 柏店,〒277-0872 千葉県柏市十余二254-684,11:00〜24:00,不定休,43席（カウンター7席+6人テーブル×3+6人座敷×3）,35.879601,139.963898
雷神 角ふじ,〒260-0822 千葉県千葉市中央区蘇我3-1-10,11:30～15:00／18:00～23:00,水曜,,35.570259,140.129501
ラーメンボーイズ,〒286-0033 千葉県成田市花崎町846-16,[平日] 11:30〜14:00／17:00〜21:00[土・祝日] 11:30〜14:30／17:00〜20:00※L.O.各10分前,日曜日,カウンター12席,35.777115,140.313965
ラーメン燦獣士,〒286-0029 千葉県成田市ウイング土屋172 グランデッツァ105,11:30〜14:00／18:00〜21:00,月曜日、金曜日,カウンター9席,35.795170,140.319229
豚骨ラーメン専門店 とんちゃん 鎌ヶ谷店,〒273-0123 千葉県鎌ケ谷市南初富4丁目18-45,11:00～16:00（L.O.15:30）／17:00～22:00（L.O.21:45）,,カウンター10席+ボックス4席×4,35.768307,140.003174
ラーメン二九六,〒277-0005 千葉県柏市柏1-1-10,11:30〜13:50L.O.17:30〜20:45L.O.,"末尾に0,1,5の付く日※臨時休業の場合にはXにて告知",カウンター10席+テーブル1席,35.861126,139.970779
ガツ盛リラーメン みちる屋 松戸店,〒270-2231 千葉県松戸市稔台7-7-13,11:30～15:00 （L.O.14:45）／18:00～翌1:00 （L.O.翌0:45）,無休,24席,35.786785,139.925751
麺処 直久 プレナ幕張店,〒261-0021 千葉県千葉市美浜区ひび野2-4 プレナ幕張2F,11:00〜23:00（L.O.22:30）,年始、施設休館に準ずる,カウンター8席、テーブル24席,35.647892,140.040405
どてちん 習志野店,〒274-0071 千葉県船橋市習志野5-6-38,11:30〜翌0:30（L.O.24:00）,無休,カウンター6席、テーブル2×4席、座敷2×4席,35.695911,140.062256
雷 船橋駅前店,〒273-0005 千葉県船橋市本町4-42-2,11:00～22:00,不定休,カウンター9席,35.699543,139.986435
山勝角ふじ 新松戸店,〒270-0034 千葉県松戸市新松戸3-418,11:00〜翌1:00 中休憩無し,無休,カウンター9席,35.822037,139.914185
らーめん 旭郎山,千葉県千葉市緑区古市場町547-3,11:00～23:00（L.O.22:55）（水曜日以外）11:00～21:00（L.O.20:55）（水曜日）,無休,カウンター8席 テーブル6席×3卓,35.545757,140.147385
山勝角ふじ 二十世紀が丘店,〒271-0088 千葉県松戸市二十世紀が丘柿の木町16-2,11:00〜14:30／18:30〜23:00,月曜,テーブル、カウンター合わせて、16席,35.772320,139.907074
限界を超えろ 京成大久保校,〒275-0011 千葉県習志野市大久保3-9-12,11:00〜14:00／17:30〜21:30,月曜日,,35.690983,140.050110
健勝軒,千葉県習志野市津田沼1-2-11,平日 ランチ11:00～15:00 ディナー18:00〜24:30土曜 11:00〜24:30日曜 11:00〜22:00,無休,カウンター6席、テーブル席8席,35.690697,140.021515
恵比寿ブタメン 市原店,〒296-0062 千葉県市原市八幡3-10,11:00〜14:00／17:00〜21:00,,,35.534058,140.113113
ちばから 穴川店,〒263-0051 千葉県千葉市稲毛区園生町452-3,11:00〜14:30／17:30〜21:00,水曜日、木曜日,,35.643005,140.112839
横浜ラーメン 増田家 西船橋店,〒273-0031 千葉県船橋市西船4-26-8 サンアイビル1F,11:00～翌5:00（日曜11:00～22:00）,無休,カウンター10席、テーブル24席,35.708420,139.959671
ミゾグチヤ 船橋店,〒274-0804 千葉県船橋市みやぎ台3-4-27,,,,35.756016,140.040359
六代目 麺処「まるは」極 西船橋店,〒273-0031 千葉県船橋市西船6-8-37,日曜～木曜11:00～翌0:30（L.O.0:00）金曜・土曜・祝前日11:00～翌2:00（L.O.1:30）,無休,カウンター8席、テーブル20席、座敷18席,35.714832,139.955765
山勝角ふじ 総本店,〒270-0034 千葉県松戸市新松戸2-22 T'sビル1F,11:00～翌2:00（ラストオーダー1時30分）,無休,27席,35.824867,139.920609
三代目麺処 「まるは」極 船橋店,〒273-0005 千葉県船橋市本町1-32-3,11:00〜24:00[日] 11:00〜20:00,無休,38席,35.700222,139.984818
六麓 豚らーめん,〒273-0003 千葉県船橋市宮本8-42-4 常世田ビル 1F,月～金 11:00～14:30、17:00～23:00土・日・祝 11:00～23:00※営業時間（仮）と表記あるため変更可能性あり,無休,,35.689854,139.997192
豚ラボ 印西店,〒270-1337 千葉県印西市草深1137,11:00～15:00／17:00～21:30※ラストオーダーは各30分前,,カウンター10、テーブル4,35.806778,140.133865
俺の生きる道 千葉駅店,〒260-0027 千葉県千葉市中央区新田町1-4 江沢ビル1F,11:00～22:00,無休,テーブル24席,35.609421,140.116592
ラーメンぶうちゃん,〒273-0005 千葉県船橋市本町7丁目9-6,11:00～14:30（L.O.14:00）,月曜～木曜（営業日はSNS参照）,,35.703201,139.982544
ふたつき家,〒288-0041 千葉県銚子市中央町15-1,11:00〜17:00,火曜,,35.733547,140.833313
横浜ラーメン 増田家 幕張店,〒261-0021 千葉県千葉市美浜区ひび野1-14 aune MAKUHARI 1F,11:00〜24:00,無休,カウンター18席、テーブル26席、小上がり10席,35.648785,140.042114
麺や GiveThanks,〒292-0043 千葉県木更津市東太田1-12-1-102,11:30～16:00,木曜日、金曜日,25席,35.376324,139.949112
横濱家系ラーメン 吟家 東金店,〒283-0821 千葉県東金市小野73-1,11:00～24:00,不定休,,35.569992,140.331970
恵比寿ブタメン 西千葉駅前店,〒263-0022 千葉県千葉市稲毛区弥生町 2-17  N.Mヒルズ弥生102,11:00～16:00／17:30～21:30,水曜日,,35.623627,140.103409
雷 津田沼駅前店,〒274-0825 千葉県船橋市前原西2-4-10,11時〜22時,無休,カウンター席7 二人掛けテーブル3,35.692741,140.018890
ラーメン さとら,〒299-2412 千葉県南房総市冨浦町福澤861-3,10:00～14:30,月～金曜日,,35.042507,139.864059
限界を超えろ 京成津田沼校,〒275-0016 千葉県習志野市津田沼5-9-6,11:00〜14:00／18:00〜22:00,月曜日※臨時休業の場合あり,カウンター12席,35.680676,140.022324
麺処どんぶら来キッチン,〒270-0004 千葉県松戸市殿平賀72番地,11:00〜14:00／18:00〜21:00,不定休,カウンター席6 4人掛けテーブル1,35.835114,139.929916
野郎ラーメン 海浜幕張店,千葉県千葉市美浜区ひび野2-4 プレナ幕張1F,11:00～22:00※スープ切れにて終了の場合あり,無休（プレナ幕張休館日のみ）,28席,35.647892,140.040405
ゆのんずラーメン,〒294-0045 千葉県館山市北条1264-4,11:00〜14:30[金・土] 11:00〜14:30／17:30〜20:30※売り切れ次第終了,水曜日、第2・4木曜日,,35.003139,139.870361
ラーメン工藤,〒564-0011 大阪府吹田市岸部南1丁目24-8,11:30～14:00／18:00～22:00[水] 11:30～14:00／18:00～20:00[金・土] 11:30～14:00／18:00～23:00,日曜日,12(立席スタイル),34.775150,135.542557
ラーメンフクロウ,〒543-0024 大阪府大阪市天王寺区舟橋町15-24,11:00〜14:00／18:00〜22:00,水曜日,カウンター9席,34.666275,135.529053
豚山 南船場店,〒542-0081 大阪府大阪市中央区南船場3-9-6,11:00～15:00／18:00～23:30,無休,カウンター12席,34.677628,135.501175
ラーメン荘 歴史を刻め 本店,〒533-0021 大阪府大阪市東淀川区下新庄5丁目1-60,11:00～15:00／18:00～24:00,日曜日月末日曜日の次の日 月曜日,カウンター12席、奥にテーブル席1卓,34.745129,135.520203
ラーメン荘 おもしろい方へ,〒574-0046 大阪府大東市赤井1-13-1 ポップタウン住道一番館1F,11:00〜23:00,日曜,カウンター12席,34.708229,135.618698
ラーメン荘 地球規模で考えろ 未来へ,〒567-0884 大阪府茨木市新庄町3-1,11:00～14:30／18:00～24:00[日] 11:00～14:30／17:00～22:00,月曜,カウンター12席,34.814716,135.573257
ラーメン・つけ麺 笑福 大阪西中島店,〒532-0011 大阪府大阪市淀川区西中島1-13-13  三信南方ビルII 1F,11:00～24:00,無休,カウンター約12席,34.725475,135.499939
麺屋ガテンZ,〒556-0004 大阪府大阪市浪速区日本橋西1-1-5,11:00～16:00／18:00～22:00,無休,10席,34.660294,135.504684
ラーメン荘 歴史を刻め 寝屋川,〒572-0838 大阪府寝屋川市八坂町30-11,11:00～15:00／17:30～22:30,日曜,,34.767242,135.622711
のスた OSAKA,〒542-0075 大阪府大阪市中央区難波千日前8-5,11:00～15:00、18:00～22:00,火曜日,カウンター17席,34.663708,135.504044
ラーメン・つけ麺 笑福 梅田店,〒530-0001 大阪府大阪市北区梅田1-1-3 大阪駅前第3ビルB2F,11:00～23:00[土・日・祝] 11:00～21:00※ラストオーダーは各30分前,不定休,,34.698402,135.499878
ラーメン男塾！！ 日本橋店,〒556-0005 大阪府大阪市浪速区日本橋4-15-23,11:30～22:00,無休,カウンターのみ7席,34.661407,135.505066
麺屋 ガテン なんば心斎橋 総本店,〒542-0086 大阪府大阪市中央区西心斎橋2丁目7-28,11:30～16:00／18:00～24:00[日] 11:30～17:00／18:00～22:30※ラストオーラーは各30分前,無休,15席,34.669735,135.498886
ラーメン男塾！！ 貝塚小瀬店,〒597-0021 大阪府貝塚市小瀬370-6,11:00～23:30,無休,,34.449024,135.372574
ラーメン池田屋 吹田店,〒564-0036 大阪府吹田市寿町1-3-3,昼11:30〜14:00夜18:00〜22:30,水曜,,34.758293,135.519485
麺屋ガテンの乱 本町淀屋橋店,〒541-0046 大阪府大阪市中央区平野町3-1-9,11:00～14:30／17:30～22:00[土] 11:00～14:30,日曜、祝日,14席,34.687782,135.503006
ラーメン荘 おもしろい方へ 池田店,〒563-0023 大阪府池田市井口堂1-6-20,11:00～15:00／18:00～22:00,日曜、最終月曜,カウンター12席,34.812840,135.445175
豚山 十三東口店,〒532-0023 大阪府大阪市淀川区十三東2-8-10,11:00～23:00,無休,カウンター13席,34.719650,135.482941
ラーメン男塾！！ 蒲生四丁目店,〒536-0004 大阪府大阪市城東区今福西3丁目1-4,11:00〜24:00,無休,,34.700802,135.546448
ラーメン荘 歴史を刻め なかもず店,〒591-8023 大阪府堺市北区中百舌鳥町6-995-3,11:00〜15:00／18:00〜22:00,日曜日,カウンター18席,34.550156,135.506470
ラーメン荘 歴史を刻め 日本橋店,〒556-0005 大阪府大阪市浪速区日本橋5-14-20,17:00～23:00,日曜日,,34.656303,135.505051
肉と麺と,〒534-0024 大阪府大阪市都島区東野田町2-8-7 サオコマビル1階南側,11:00～15:00（L.O.14:30）17:00～22:00（L.O.21:30）,無休,17席（カウンター席）,34.698025,135.530182
らーめん まる氣,〒555-0022 大阪府大阪市西淀川区柏里3-21-31,11:30～14:30／18:00～22:00,月曜日,9席,34.712502,135.466797
夢の一歩 大阪和泉店,〒594-0041 大阪府和泉市いぶき野5-1-11  エコールいずみ東館 1F,11:00〜14:00／17:00〜21:00,月曜日,,34.460056,135.456863
さぁみな！,〒579-8065 大阪府東大阪市新池島町3-12-12,11:30〜14:30／18:00〜21:00,月曜日,,34.655540,135.627594
BUTAKIN 西中島南方店,〒532-0011 大阪府大阪市淀川区西中島3-20-2,11:00〜23:00,無休,,34.727028,135.499603
BUTAKIN 上本町店,〒542-0063 大阪府大阪市中央区東平2丁目5-5  盛川ビル 1F,11:00〜22:00（L.O.21:30）,,,34.666607,135.518005
BUTAKIN 東梅田店,〒530-0027 大阪府大阪市北区堂山町1-5  三共梅田ビル 1F,11:00〜翌5:00,,,34.702404,135.504303
らーめん 豚郎 東花園店,〒578-0924 大阪府東大阪市吉田6-5-22,11:30〜14:00,火曜日,,34.664749,135.626938
大阪やきそば亭,〒547-0012 大阪府大阪市平野区長吉六反4-8-40,11:00～14:00／18:00～22:00,月曜日,4席 (2席テーブル×2),34.606876,135.586487
ラーメン つけ麺 熱く勢ろ,〒565-0851 大阪府吹田市千里山西1-15-29,11:00～14:30／17:00～22:00[火・木] 11:00～14:30※各ラストオーダー,水曜、日曜、祝日,9席,34.773670,135.505585
麺屋 虎司,大阪府大阪市東成区東中本2-4-6,11:00～14:00／17:00～21:00,日曜,18席,34.680008,135.548660
G系ラーメン ナカモズマシマシ,〒591-8023 大阪府堺市北区中百舌鳥町5-659-1,11:00～15:00／18:00～23:00,無休,,34.554951,135.505203
らー麺男塾！！ 狭山店,〒589-0013 大阪府大阪狭山市茱萸木1-155-1,11:00～15:00／17:00～21:00,無休,,34.496113,135.548630
麺屋 きん次郎,〒569-1123 大阪府高槻市芥川町1-7-9,11:00～15:00／18:00～21:00,日曜日,,34.852627,135.617294
ラーメン作戦レベルアップ,〒577-0818 大阪府東大阪市小若江3-6-16,11:00〜13:30／18:00〜21:00,日曜日※ほか不定休あり,,34.651627,135.585648
麺屋一得,〒560-0043 大阪府豊中市待兼山町21-8,11:00～15:00／17:00～22:00,日曜,,34.806698,135.448334
麺屋 美豚,〒572-0048 大阪府寝屋川市大利町11-33,11:45～15:0017:30～21:30,水曜 他あり,,34.766739,135.619385
大ちゃんラーメン,〒553-0003 大阪府大阪市福島区福島1-6-3  水本ビル 1F,11:30〜15:00／17:00〜22:00,月曜日,10席,34.694962,135.488144
男のラーメン 関目団長,〒536-0007 大阪府大阪市城東区成育5-23-2 パークプラザ森小路101,11:30～15:00／18:00～22:00,木曜日（祝日は営業）,4名テーブル3卓 カウンター9席,34.714775,135.545700
麺処 藤山二郎 あべのHoop本店,〒545-0052 大阪府大阪市阿倍野区阿倍野筋1-2-30  B1F,11:00～23:00（L.O.22:30）,不定休,,34.645473,135.513748
麺道 くろとん 大阪店,〒577-0811 大阪府東大阪市西上小阪14-14,,,,34.651058,135.579742
好麺 たまらん,〒551-0001 大阪府大阪市大正区三軒家西1-4-20,11:30～14:00／17:.30～24:00※売り切れ次第終了,不定休,9席,34.666653,135.477783
ラーメン ボス豚 西中島店,〒532-0011 大阪府大阪市淀川区西中島3丁目17-12 西中島コスモビル 101号室,11:00〜15:00／17:00〜24:00,,,34.726326,135.499283
喰わぬなら 喰わせてみせよう 豚一杯,〒571-0039 大阪府門真市速見町8-24,11:00～15:00／18:00～20:00,,,34.735466,135.593674
ラーメン浅野3号,〒870-0035 大分県大分市中央町1-4-22  大分マート,11:00〜15:00／17:00〜21:00,,,33.237720,131.607162
ラーメン・つけ麺 まる重,〒870-0852 大分県大分市田中町2-6-1,10:00～24:00（L.O.）,不定休,26席,33.210472,131.592056
太一商店 別府やまなみ店,〒874-0845 大分県別府市北中7-2,11:00～23:00（L.O.）,無休,,33.311565,131.481537
夢の途中 別府,〒874-0919 大分県別府市石垣東10-2-46,18:00～22:00※毎週水曜日の12:00～14:00に昼営業を開始し、水曜日限定のまぜそばが提供される[土] 11:00～14:00 ／ 18:00～22:00[日] 11:00～14:00,月曜日,24(立席スタイル),33.304073,131.498795
夢太麺 満祭,〒871-0012 大分県中津市大字宮夫239-1,10:30～14:30,,,33.588238,131.207886
太一商店,大分県大分市乙津町1-1,11:00〜15:00、18:00〜23:00（売り切れ次第終了）,不定休,カウンター8席、テーブル18席、座敷12席,33.241825,131.672028
らーめん家 政,長崎県長崎市大黒町10-11,11:00～翌1:00日 11:00～22:00,無休,カウンター10席,32.751453,129.872360
Quwaii,〒850-0032 長崎県長崎市興善町4-16,11:30〜14:00／18:00〜20:30土・日・祝はのみ,木曜日,,32.747845,129.876236
俺の人生ふるすいんぐ 佐世保店,〒857-0879 長崎県佐世保市島地町1-1,11:00〜15:00／18:00〜翌3:00,不定休,,33.168823,129.721863
夢を語れ 長崎,〒852-8134 長崎県長崎市大橋町3-30  ケイズⅡビル 1F,17:00〜22:00※売り切れ次第終了,日曜日,カウンター10席、テーブル4席×1,32.779530,129.861862
麺とび六方 茅野店,〒391-0013 長野県茅野市宮川4236-2,11:30～15:00／17:30～22:00,無休,カウンター、テーブル 32席,35.988052,138.148956
ラッキー食堂 まとや,長野県長野市大字鶴賀南千歳町876-13,11:00〜21:30L.O.,日曜,33席,36.647438,138.188278
信濃神麺 烈士洵名 長野店,〒381-0044 長野県長野市中越2-36-24,11:00〜23:00,月曜日,40席,36.665123,138.221558
麺屋 増豚,〒388-8004 長野県長野市篠ノ井会5-22,11:30〜14:00／17:30〜20:30※売り切れ次第終了,不定休,カウンター6席,36.575165,138.145523
ラーメン ふたつ矢,〒395-0002 長野県飯田市上郷飯沼2234-5,11:00～14:00／17:30～23:45[日] ～21:00,無休,窓際カウンター4席、4人掛テーブル席×4、中央カウンター×8席,35.516357,137.848648
ラッキー食堂まとや 千曲店,長野県千曲市打沢27‐8,11:00～15:00／17:00～21:00（L.O.各15分前）,月曜日,50席,36.523315,138.125534
麺とび 六方 松川店,〒399-8501 長野県北安曇郡松川村5744-4 Palao内,11:30〜15:00、17:30～22:00,月曜日,43席（カウンター6席、テーブル席4卓17席、小上がり4卓20席）,36.424046,137.854553
レストランみゆき野六方,〒389-2256 長野県飯山市大字蓮269,11:00～14:30／17:00～21:00（L.O.20:30）,月曜※祝日の場合は営業、翌日休,,36.818142,138.336319
麺とび六方 長野店,〒380-0911 長野県長野市稲葉中千田2567-1,11:30～15:0017:30～22:00,不定休,,36.633194,138.207947
麺とび六方,〒399-0038 長野県松本市小屋南1-42-6,11:30〜15:00／17:30〜22:00,無休,カウンター 10  小上がり 4人×2  テーブル 4人×2,36.176697,137.952194
麺屋 花の名,〒385-0011 長野県佐久市猿久保667-5 ナリタビル,11:30～14:00／18:00～21:00（L.O.20:00）,水曜、第2・4木曜,12席,36.256962,138.472443
まるなか,〒392-0027 長野県諏訪市湖岸通り3-1-24  2F,17:00～翌2:00（L.O.翌1:00）,無休,,36.049782,138.113129
ラーメン将太,〒399-4511 長野県上伊那郡南箕輪村神子柴8304-566,11:00～14:00／17:00～22:00その他お休み変更等はSNSをご覧ください。,月曜日・第2火曜,30席,35.868050,137.934174
ラーメン富士松,〒386-0041 長野県上田市秋和352-6,11:30～14:30／17:30～20:30,,,36.415516,138.224625
らぅめん福助,長野県千曲市桜堂字西沖345-3,11:30〜14:30／18:00〜21:00,火曜日,カウンター10席 テーブル10席,36.529819,138.123444
麺とび六方 伊那店,〒399-4431 長野県伊那市西春近2337-1,11:30～14:30／17:30～21:30,,,35.805569,137.898041
夢を語れ 長野,〒380-0833 長野県長野市権堂町2373,11:00〜14:00／18:00〜21:00[日] 11:00〜14:00,,,36.648632,138.194290
ガッツだ！ニボジロー,〒390-0803 長野県松本市元町2-6-8,11:30〜15:00／18:00～22:30,無休,20席,36.244301,137.981064
だるま矢,長野県中野市岩船312-1,11:30～14:00／17:30～20:30[日曜、祝日] 11:30～14:30※スープ終了次第閉店※ラストオーダーは各15分前,火曜日、第3月曜日ほか不定休あり,カウンター×6席、テーブル2人×3、小上がり6人×1、  計18席,36.745762,138.361160
あつ美二号,〒381-0013 長野県長野市桜新町678-1,11:30〜14:3017:00〜21:00（ラストオーダー20:30）,,,36.654400,138.232117
麺屋 鼓舞士,長野県伊那市西町区沢5070,11:30〜14:00／17:00〜20:30,木曜日,カウンター12席 テーブル2卓×6席 小上がり2卓×6席 計36席,35.834656,137.944366
